sep=;
name=mlx5_dc_roce_lag; type=feature; upstream_status=in_progress;
name=exp_pci_atomics; type=feature; upstream_status=NA;
name=sw_icm; type=feature; upstream_status=in_progress;
name=disable_local_lb; type=feature; upstream_status=NA;
name=udp_sport; type=feature; upstream_status=in_progress;
name=signature_pipeline; type=feature; upstream_status=NA;
name=mlx5_pme_updates; type=feature; upstream_status=in_progress;
name=net_sched; type=feature; upstream_status=NA;
name=mlx5e_perf_improvements; type=feature; upstream_status=in_progress;
name=mlx5e_decapsulated_tunnel_hw_offloads; type=feature; upstream_status=in_progress;
name=shared_msix; type=feature; upstream_status=in_progress;
name=mlx5_roce_lag_ecmp; type=feature; upstream_status=in_progress;
name=mlx5_vepa; type=feature; upstream_status=in_progress;
name=mlx5e_general_perf_improvements; type=feature; upstream_status=in_progress;
name=disable_roce; type=feature; upstream_status=in_progress;
name=vf_group_rate_limit; type=feature; upstream_status=NA;
name=fdb_bypass; type=feature; upstream_status=in_progress;
name=sw_steering; type=feature; upstream_status=in_progress;
name=roce_steering; type=feature; upstream_status=in_progress;
name=signature_handover; type=feature; upstream_status=NA;
name=sig_crc32; type=feature; upstream_status=NA;
name=mlx5_pcie_power; type=feature; upstream_status=in_progress;
name=mlx5e_rxfcs_exclusive; type=feature; upstream_status=NA;
name=shared_msix; type=feature; upstream_status=in_progress;
name=mlx5e_fw_eeprom; type=feature; upstream_status=in_progress;
name=mlx5e_rss_default_toeplitz; type=feature; upstream_status=in_progress;
name=mlx5e_st_ct; type=feature; upstream_status=NA;
name=mlx5e_rep_stats; type=feature; upstream_status=in_progress;
name=mlx5_sfs; type=feature; upstream_status=in_progress;
name=mlx5_fast_fw_update; type=feature; upstream_status=in_progress;
name=vf_group_bw_share; type=feature; upstream_status=NA;
name=uplink_ethtool_steering; type=feature; upstream_status=in_progress;
name=mlx5_single_fdb_lag; type=feature; upstream_status=in_progress;
name=rdma_res_tracker; type=feature; upstream_status=accepted;
name=devx; type=feature; upstream_status=accepted;
name=mlx5_bf; type=feature; upstream_status=accepted;
name=mlx5_advise_mr; type=feature; upstream_status=accepted;
name=mlx5e_xdp_redirect; type=feature; upstream_status=accepted;
name=cx5_qp_counters; type=feature; upstream_status=accepted;
name=rdma_netns; type=feature; upstream_status=accepted;
